trials.thisRepN,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,"Accuracy (1=correct, 0=incorrect)"
71,5,131.8877675,131.8877675,0.0124678,[0.12129629629629629],[-0.42777777777777776],[1],[0],[0],1.15244700000,['target'],1
72,10,133.0707073,133.0707073,0.0220037,[-0.07592592592592592],[-0.0824074074074074],[1],[0],[0],1.25960730000,['target'],1
73,5,134.3388306,134.3388306,0.0120759,[0.21574074074074073],[0.20185185185185187],[1],[0],[0],1.63623520000,['target'],1
74,10,136.0091434,136.0091434,0.0239296,[-0.17777777777777778],[0.3425925925925926],[1],[0],[0],1.90659740000,['target'],1
75,10,137.9393191,137.9393191,0.0230911,[-0.16111111111111112],[-0.37222222222222223],[1],[0],[0],1.45806940000,['target'],1
76,5,139.4068213,139.4068213,0.0115747,[-0.22962962962962963],[0.46296296296296297],[1],[0],[0],2.57148380000,['target'],1
77,5,142.0006318,142.0006318,0.0167383,[0.05555555555555555],[0.10092592592592593],[1],[0],[0],1.84416280000,['target'],1
78,10,143.8770883,143.8770883,0.0231619,[0.35833333333333334],[0.10740740740740741],[1],[0],[0],1.47516800000,['target'],1
79,5,145.3613594,145.3613594,0.0124231,[-0.012962962962962963],[0.0962962962962963],[1],[0],[0],1.23530660001,['target'],1
80,5,146.610613,146.610613,0.0117541,[0.22314814814814815],[0.3675925925925926],[1],[0],[0],1.21834500000,['target'],1
81,5,147.8422317,147.8422317,0.0118439,[0.14074074074074075],[-0.025925925925925925],[1],[0],[0],1.52072279999,['target'],1
82,5,149.3816631,149.3816631,0.014255,[-0.4638888888888889],[-0.16296296296296298],[1],[0],[0],1.61592339999,['target'],1
83,5,151.0212902,151.0212902,0.0197243,[0.3574074074074074],[0.4601851851851852],[1],[0],[0],2.56013920001,['target'],1
84,10,153.6149128,153.6149128,0.0237665,[0.4648148148148148],[0.0824074074074074],[1],[0],[0],1.37379709999,['target'],1
85,10,155.0212627,155.0212627,0.0314616,[0.013888888888888888],[-0.1111111111111111],[1],[0],[0],2.46651000000,['target'],1
86,10,157.5179498,157.5179498,0.0240048,[0.21203703703703702],[-0.4898148148148148],[1],[0],[0],3.57263379999,[],0
87,10,161.1189093,161.1189093,0.0253979,[0.07037037037037037],[-0.35],[1],[0],[0],2.44022390000,['target'],1
88,5,163.5669513,163.5669513,0.0121548,[-0.22685185185185186],[-0.33425925925925926],[1],[0],[0],1.36890000000,['target'],1
89,10,164.9615618,164.9615618,0.0248127,[-0.3861111111111111],[-0.053703703703703705],[1],[0],[0],2.24030920000,['target'],1
90,10,167.2345123,167.2345123,0.0218351,[-0.2712962962962963],[-0.2537037037037037],[1],[0],[0],1.24250520000,['target'],1
91,5,168.4839605,168.4839605,0.0130239,[0.27037037037037037],[0.15925925925925927],[1],[0],[0],1.45271370001,['target'],1
92,10,169.9797311,169.9797311,0.0276265,[-0.07037037037037037],[0.1361111111111111],[1],[0],[0],1.20174470000,['target'],1
93,5,171.1894737,171.1894737,0.0126078,[0.38055555555555554],[0.014814814814814815],[1],[0],[0],1.15119950000,['target'],1
94,10,172.3765326,172.3765326,0.0310542,[0.014814814814814815],[-0.13055555555555556],[1],[0],[0],2.36546760000,['target'],1
95,10,174.7740247,174.7740247,0.0289211,[0.1111111111111111],[0.43425925925925923],[1],[0],[0],2.23880229999,['target'],1
96,5,177.0235544,177.0235544,0.0117209,[0.47685185185185186],[0.1824074074074074],[1],[0],[0],1.21876300000,['target'],1
97,10,178.2759283,178.2759283,0.0217307,[0.275],[0.2611111111111111],[1],[0],[0],1.22323540000,['target'],1
98,5,179.506622,179.506622,0.0129534,[0.33611111111111114],[0.48055555555555557],[1],[0],[0],1.23547109999,['target'],1
99,10,180.7773398,180.7773398,0.0249832,[0.2361111111111111],[-0.39166666666666666],[1],[0],[0],2.48868060000,['target'],1
100,10,183.2973613,183.2973613,0.0277567,[0.25],[0.44907407407407407],[1],[0],[0],1.65286800000,['target'],1
101,5,184.9585789,184.9585789,0.0135049,[-0.3685185185185185],[-0.09444444444444444],[1],[0],[0],1.45111549999,['target'],1
102,10,186.4488273,186.4488273,0.0244078,[0.47129629629629627],[-0.002777777777777778],[1],[0],[0],3.05446310001,['target'],1
103,5,189.5111126,189.5111126,0.0137244,[-0.4537037037037037],[0.19444444444444445],[1],[0],[0],1.61834040000,['target'],1
104,5,191.1471273,191.1471273,0.013705,[0.2175925925925926],[-0.25925925925925924],[1],[0],[0],1.41690499999,['target'],1
105,10,192.6067923,192.6067923,0.032382,[-0.14722222222222223],[0.022222222222222223],[1],[0],[0],1.56474240001,['target'],1
106,10,194.2008669,194.2008669,0.0235675,[-0.26296296296296295],[-0.05462962962962963],[1],[0],[0],1.07206979999,['target'],1
107,5,195.2792582,195.2792582,0.0119603,[-0.19166666666666668],[0.3416666666666667],[1],[0],[0],1.55187390000,['target'],1
108,10,196.8660204,196.8660204,0.0225411,[0.25925925925925924],[-0.2638888888888889],[1],[0],[0],1.74065510000,['target'],1
109,5,198.6158056,198.6158056,0.0160675,[0.07592592592592592],[-0.33240740740740743],[1],[0],[0],1.31563640000,['target'],1
110,10,199.9773193,199.9773193,0.0349469,[0.23148148148148148],[0.275],[1],[0],[0],1.91276689999,['target'],1
111,10,201.9281865,201.9281865,0.0400014,[-0.12222222222222222],[0.4101851851851852],[1],[0],[0],1.58811140001,['target'],1
112,5,203.5396251,203.5396251,0.0198196,[-0.47129629629629627],[0.40925925925925927],[1],[0],[0],2.29481169999,['target'],1
113,10,205.8693841,205.8693841,0.0258519,[-0.024074074074074074],[-0.4740740740740741],[1],[0],[0],2.35668840000,['target'],1
114,5,208.2349928,208.2349928,0.012814,[0.05555555555555555],[-0.23333333333333334],[1],[0],[0],1.66750670000,['target'],1
115,5,209.9180761,209.9180761,0.0119413,[0.37222222222222223],[-0.11481481481481481],[1],[0],[0],1.28569990001,['target'],1
116,10,211.2405981,211.2405981,0.0255399,[0.2212962962962963],[-0.18333333333333332],[1],[0],[0],1.05374470000,['target'],1
117,10,212.3219706,212.3219706,0.0261763,[-0.008333333333333333],[0.27037037037037037],[1],[0],[0],1.67274349999,['target'],1
118,10,214.0253165,214.0253165,0.0254587,[0.0787037037037037],[-0.22407407407407406],[1],[0],[0],3.58790279999,['target'],1
119,5,217.6197131,217.6197131,0.0113505,[0.18703703703703703],[-0.19814814814814816],[1],[0],[0],1.28741680000,['target'],1
120,10,218.9388291,218.9388291,0.0232171,[0.0824074074074074],[0.47129629629629627],[1],[0],[0],3.19203009999,['target'],1
121,10,222.1601764,222.1601764,0.0229811,[0.05277777777777778],[-0.45740740740740743],[1],[0],[0],2.08973780001,['target'],1
122,5,224.2576681,224.2576681,0.0123118,[-0.07962962962962963],[0.003703703703703704],[1],[0],[0],1.53471420000,['target'],1
123,5,225.8070536,225.8070536,0.0119357,[0.06944444444444445],[0.33055555555555555],[1],[0],[0],1.45242560000,['target'],1
124,5,227.272979,227.272979,0.0119854,[0.26481481481481484],[-0.13796296296296295],[1],[0],[0],1.86866650000,['target'],1
125,10,229.1732533,229.1732533,0.021989,[-0.32407407407407407],[0.43425925925925923],[1],[0],[0],1.97668860000,['target'],1
126,5,231.1588831,231.1588831,0.0121087,[-0.4185185185185185],[-0.12685185185185185],[1],[0],[0],2.07001300000,['target'],1
127,5,233.2482657,233.2482657,0.0159258,[0.40555555555555556],[-0.32222222222222224],[1],[0],[0],1.73094389999,['target'],1
128,10,235.0111223,235.0111223,0.0222768,[-0.46574074074074073],[0.07037037037037037],[1],[0],[0],2.09220320001,['target'],1
129,5,237.115881,237.115881,0.0142399,[0.29907407407407405],[0.037037037037037035],[1],[0],[0],1.41630360000,['target'],1
130,10,238.5716656,238.5716656,0.0294494,[-0.3416666666666667],[0.1527777777777778],[1],[0],[0],1.88350090000,['target'],1
131,5,240.4652031,240.4652031,0.0143536,[0.17962962962962964],[0.48703703703703705],[1],[0],[0],2.06716039999,['target'],1
132,5,242.5481619,242.5481619,0.0138156,[-0.43148148148148147],[-0.032407407407407406],[1],[0],[0],1.76742250001,['target'],1
133,5,244.3298747,244.3298747,0.0107947,[-0.2490740740740741],[-0.44351851851851853],[1],[0],[0],1.85419210000,['target'],1
134,5,246.1966275,246.1966275,0.0120208,[0.41203703703703703],[0.27037037037037037],[1],[0],[0],1.67022889999,['target'],1
135,10,247.9063005,247.9063005,0.025683,[-0.22037037037037038],[-0.10648148148148148],[1],[0],[0],2.00336900000,['target'],1
136,10,249.9409891,249.9409891,0.0291288,[-0.39537037037037037],[-0.19537037037037036],[1],[0],[0],2.35282530001,['target'],1
137,5,252.2991734,252.2991734,0.0123386,[0.4638888888888889],[-0.43703703703703706],[1],[0],[0],1.48584830000,['target'],1
138,10,253.8254727,253.8254727,0.0283906,[-0.36574074074074076],[0.4583333333333333],[1],[0],[0],1.85220460000,['target'],1
139,5,255.6883702,255.6883702,0.0145428,[0.38981481481481484],[-0.24074074074074073],[1],[0],[0],1.61615990000,['target'],1
140,5,257.3182163,257.3182163,0.0115626,[0.009259259259259259],[0.2916666666666667],[1],[0],[0],1.75352669999,['target'],1
141,10,259.1096272,259.1096272,0.0258208,[-0.4601851851851852],[0.08518518518518518],[1],[0],[0],1.97104720000,['target'],1
142,5,261.092372,261.092372,0.0161564,[0.09351851851851851],[0.2388888888888889],[1],[0],[0],1.36502139999,['target'],1
143,10,262.49225,262.49225,0.0259176,[-0.31851851851851853],[-0.1935185185185185],[1],[0],[0],1.57132370000,['target'],1
